datetime,temperature,humidity,window_status
2025-09-28 14:48:43,20.30,68.30,closed
2025-09-28 14:48:43,20.30,68.30,closed
2025-09-28 14:48:47,20.30,68.40,closed
2025-09-28 14:48:47,20.30,68.30,closed
2025-09-28 14:48:51,20.30,68.40,closed
2025-09-28 14:48:51,20.30,68.30,closed
2025-09-28 14:48:55,20.30,68.50,closed
2025-09-28 14:48:55,20.30,68.30,closed
2025-09-28 14:48:59,20.30,68.30,closed
2025-09-28 14:48:59,20.40,68.40,closed
2025-09-28 14:49:03,20.30,68.30,closed
2025-09-28 14:49:03,20.30,68.30,closed
2025-09-28 14:49:07,20.30,68.20,closed
2025-09-28 14:49:07,20.30,68.20,closed
2025-09-28 14:49:11,20.30,68.30,closed
2025-09-28 14:49:11,20.30,68.20,closed
2025-09-28 14:49:15,20.30,68.20,closed
2025-09-28 14:49:15,20.40,68.20,closed
2025-09-28 14:49:19,20.40,68.20,closed
2025-09-28 14:49:19,20.30,68.20,closed
2025-09-28 14:49:23,20.30,68.10,closed
2025-09-28 14:49:23,20.30,68.10,closed
2025-09-28 14:49:27,20.30,68.10,closed
2025-09-28 14:49:27,20.30,68.10,closed
2025-09-28 14:49:31,20.30,68.10,closed
2025-09-28 14:49:31,20.30,68.10,closed
2025-09-28 14:49:35,20.30,68.10,closed
2025-09-28 14:49:35,20.30,68.00,closed
2025-09-28 14:49:39,20.30,68.00,closed
2025-09-28 14:49:39,20.30,67.90,closed
2025-09-28 14:49:43,20.30,67.90,closed
2025-09-28 14:49:43,20.30,67.90,closed
2025-09-28 14:49:47,20.30,68.00,closed
2025-09-28 14:49:47,20.30,67.80,closed
2025-09-28 14:49:52,20.30,67.80,closed
2025-09-28 14:49:52,20.30,67.80,closed
2025-09-28 14:49:56,20.30,67.80,closed
2025-09-28 14:49:56,20.30,67.80,closed
2025-09-28 14:50:00,20.30,67.80,closed
2025-09-28 14:50:00,20.30,67.80,closed
2025-09-28 14:50:02,20.30,67.80,closed
2025-09-28 14:50:06,20.30,67.80,closed
2025-09-28 14:50:06,20.30,67.70,closed
2025-09-28 14:50:10,20.30,67.90,closed
2025-09-28 14:50:10,20.30,67.80,closed
2025-09-28 14:50:14,20.30,67.80,closed
2025-09-28 14:50:14,20.30,67.80,closed
2025-09-28 14:50:18,20.30,67.80,closed
2025-09-28 14:50:18,20.30,67.70,closed
2025-09-28 14:50:22,20.30,67.90,closed
2025-09-28 14:50:22,20.30,67.70,closed
2025-09-28 14:50:26,20.30,67.80,closed
2025-09-28 14:50:26,20.40,67.80,closed
2025-09-28 14:50:30,20.30,67.80,closed
2025-09-28 14:50:30,20.30,67.80,closed
2025-09-28 14:50:34,20.30,67.80,closed
2025-09-28 14:50:34,20.30,67.80,closed
2025-09-28 14:50:38,20.30,67.80,closed
2025-09-28 14:50:38,20.30,67.80,closed
2025-09-28 14:50:42,20.30,67.80,closed
2025-09-28 14:50:42,20.30,67.90,closed
2025-09-28 14:50:46,20.40,67.90,closed
2025-09-28 14:50:46,20.40,67.90,closed
2025-09-28 14:50:50,20.40,67.90,closed
2025-09-28 14:50:50,20.30,68.00,closed
2025-09-28 14:50:54,20.40,67.90,closed
2025-09-28 14:50:54,20.30,67.90,closed
2025-09-28 14:50:58,20.30,67.90,closed
2025-09-28 14:50:58,20.30,67.90,closed
2025-09-28 14:51:02,20.30,67.90,closed
2025-09-28 14:51:02,20.30,67.90,closed
2025-09-28 14:51:06,20.30,67.90,closed
2025-09-28 14:51:06,20.30,67.90,closed
2025-09-28 14:51:10,20.30,67.90,closed
2025-09-28 14:51:10,20.40,67.90,closed
2025-09-28 14:51:14,20.40,67.80,closed
2025-09-28 14:51:14,20.40,67.80,closed
2025-09-28 14:51:18,20.30,67.80,closed
2025-09-28 14:51:18,20.30,67.70,closed
2025-09-28 14:51:22,20.30,67.70,closed
2025-09-28 14:51:22,20.30,67.80,closed
2025-09-28 14:51:26,20.30,67.70,closed
2025-09-28 14:51:26,20.30,67.70,closed
2025-09-28 14:51:30,20.40,67.70,closed
2025-09-28 14:51:30,20.30,67.70,closed
2025-09-28 14:51:34,20.30,67.70,closed
2025-09-28 14:51:34,20.30,67.70,closed
2025-09-28 14:51:38,20.40,67.70,closed
2025-09-28 14:51:38,20.30,67.70,closed
2025-09-28 14:51:42,20.30,67.70,closed
2025-09-28 14:51:42,20.30,67.70,closed
2025-09-28 14:51:46,20.40,67.90,closed
2025-09-28 14:51:46,20.30,67.70,closed
2025-09-28 14:51:50,20.30,67.70,closed
2025-09-28 14:51:50,20.30,67.70,closed
2025-09-28 14:51:54,20.30,67.80,closed
2025-09-28 14:51:54,20.30,67.80,closed
2025-09-28 14:51:58,20.30,67.80,closed
2025-09-28 14:51:58,20.30,67.70,closed
2025-09-28 14:52:02,20.40,67.80,closed
2025-09-28 14:52:02,20.40,67.80,closed
2025-09-28 14:52:06,20.40,67.80,closed
2025-09-28 14:52:06,20.30,67.70,closed
2025-09-28 14:52:10,20.30,67.80,closed
2025-09-28 14:52:10,20.30,67.70,closed
2025-09-28 14:52:14,20.30,67.80,closed
2025-09-28 14:52:14,20.40,67.80,closed
2025-09-28 14:52:18,20.30,67.70,closed
2025-09-28 14:52:18,20.30,67.80,closed
2025-09-28 14:52:22,20.30,67.90,closed
2025-09-28 14:52:22,20.40,67.90,closed
2025-09-28 14:52:26,20.30,67.80,closed
2025-09-28 14:52:26,20.40,67.80,closed
2025-09-28 14:52:30,20.30,67.90,closed
2025-09-28 14:52:30,20.30,67.80,closed
2025-09-28 14:52:34,20.40,67.90,closed
2025-09-28 14:52:34,20.30,67.90,closed
2025-09-28 14:52:38,20.30,67.90,closed
2025-09-28 14:52:38,20.30,67.90,closed
2025-09-28 14:52:42,20.40,67.90,closed
2025-09-28 14:52:42,20.30,67.80,closed
2025-09-28 14:52:46,20.30,67.80,closed
2025-09-28 14:52:46,20.30,67.70,closed
2025-09-28 14:52:48,20.30,67.60,closed
